Date,Close,High,Low,Open,Volume
2024-04-16,15.646637916564941,15.811339643882363,15.454485319614834,15.646637916564941,520300
2024-04-17,16.131589889526367,16.131589889526367,15.719837346434831,15.783887625677567,421100
2024-04-18,16.140743255615234,16.314595293300304,15.921141508389669,16.159043837527253,337600
2024-04-19,16.12244415283203,16.360344732803373,15.985191535996886,16.140742989202465,237700
2024-04-22,16.25054359436035,16.424395616987802,16.076691571732905,16.213942433706407,300400
2024-04-23,16.127092361450195,16.23882819585364,15.78257694266952,16.043290929642822,238000
2024-04-24,16.415742874145508,16.620591634382407,15.996737436897522,16.127094447243863,290000
2024-04-25,16.564725875854492,16.564725875854492,15.987427201533624,16.35056563035958,253100
2024-04-26,16.881303787231445,16.974416688311035,16.462298396344604,16.574032456855413,319800
2024-04-29,16.983728408813477,17.05821837558973,16.80681407172704,16.88130403850329,148700
2024-04-30,16.434364318847656,17.05821845966646,16.434364318847656,16.927861461160738,424900
2024-05-02,16.201583862304688,16.927862414856165,15.9874254166996,16.52747815291039,587100
2024-05-03,16.471609115600586,16.76025749744869,16.350561816903102,16.46229764831764,387600
2024-05-06,16.35987663269043,16.871996782187267,16.313321062727606,16.471612486974823,250600
2024-05-07,16.55541229248047,16.741636329851694,16.34125207433114,16.34125207433114,206600
2024-05-08,16.66714859008789,16.73232710068899,16.294698689523596,16.527480099373932,222700
2024-05-09,15.736021995544434,16.28538623152452,15.419439155285364,16.28538623152452,667900
2024-05-10,15.642909049987793,16.304009135990228,15.512552036965245,15.736021963281516,932300
2024-05-13,15.978113174438477,16.17365044972411,15.708087707401358,15.717397399384602,207400
2024-05-14,15.987425804138184,16.27607422807844,15.9315587682745,15.94087023691529,235400
2024-05-15,15.950180053710938,16.182961443599183,15.726710132535949,16.024670027435935,205200
2024-05-16,16.108470916748047,16.127093853535094,15.83844543725986,16.089849755942,227700
2024-05-17,15.912935256958008,16.26676217263897,15.829133818194968,16.23882954370528,224400
2024-05-20,15.726709365844727,16.108470684571756,15.726709365844727,15.912935179069072,201600
