Date,Close,High,Low,Open,Volume
2024-04-16,33.20000076293945,36.400001525878906,33.20000076293945,35.79999923706055,2050
2024-04-17,33.0,36.0,32.599998474121094,36.0,2175
2024-04-18,33.400001525878906,34.79999923706055,32.20000076293945,34.599998474121094,1595
2024-04-19,33.0,33.400001525878906,31.799999237060547,32.400001525878906,4270
2024-04-22,32.400001525878906,33.20000076293945,31.399999618530273,31.600000381469727,3230
2024-04-23,31.600000381469727,33.0,31.0,32.599998474121094,3000
2024-04-24,30.399999618530273,33.0,30.399999618530273,32.79999923706055,2025
2024-04-25,29.600000381469727,31.0,29.200000762939453,30.0,2605
2024-04-26,30.600000381469727,31.600000381469727,29.799999237060547,30.0,1005
2024-04-29,30.200000762939453,31.600000381469727,29.799999237060547,31.600000381469727,745
2024-04-30,30.200000762939453,31.0,30.0,30.799999237060547,795
2024-05-02,30.600000381469727,32.599998474121094,29.600000381469727,31.799999237060547,1880
2024-05-03,30.600000381469727,31.799999237060547,30.399999618530273,31.0,1345
2024-05-06,30.200000762939453,31.600000381469727,30.0,31.0,1410
2024-05-07,30.0,31.399999618530273,30.0,31.200000762939453,515
2024-05-08,30.399999618530273,30.799999237060547,30.200000762939453,30.799999237060547,295
2024-05-09,30.200000762939453,30.799999237060547,30.0,30.799999237060547,450
2024-05-10,29.399999618530273,31.200000762939453,29.399999618530273,30.0,625
2024-05-13,29.200000762939453,31.799999237060547,29.200000762939453,30.399999618530273,1100
2024-05-14,29.399999618530273,30.600000381469727,28.799999237060547,30.0,2275
2024-05-15,28.200000762939453,30.0,28.0,29.200000762939453,2545
2024-05-16,27.399999618530273,29.799999237060547,27.399999618530273,28.200000762939453,3970
2024-05-17,26.799999237060547,28.799999237060547,26.799999237060547,27.399999618530273,1705
2024-05-20,27.600000381469727,28.0,26.799999237060547,27.0,1675
2024-05-21,28.799999237060547,29.799999237060547,27.0,27.200000762939453,3710
2024-05-22,29.0,33.400001525878906,28.799999237060547,28.799999237060547,13160
2024-05-23,29.600000381469727,32.20000076293945,29.399999618530273,29.799999237060547,5975
2024-05-24,28.600000381469727,31.200000762939453,28.0,29.799999237060547,3925
