Price,Close,High,Low,Open,Volume
Ticker,GMAT3.SA,GMAT3.SA,GMAT3.SA,GMAT3.SA,GMAT3.SA
Date,,,,,
2024-04-11,7.993286609649658,8.080698159414062,7.8864507856290205,7.915587660135642,3294800
2024-04-12,7.7504777908325195,7.993286781729902,7.65335410184911,7.993286781729902,5413800
2024-04-15,7.468818664550781,7.740764986543444,7.4299691899804,7.7116281121767924,7839800
2024-04-16,7.206584453582764,7.429969163115894,7.1677349791528515,7.429969163115894,7342700
2024-04-17,7.128885746002197,7.3522704630958495,7.080323669760076,7.226009435364159,5394900
2024-04-18,7.099748134613037,7.2939959689894796,7.099748134613037,7.099748134613037,2622700
2024-04-19,7.28428316116333,7.3911194438679555,7.099747932172522,7.099747932172522,4062500
2024-04-22,7.216296672821045,7.303708222845078,7.128885585919283,7.284283485408879,2483300
2024-04-23,7.158022403717041,7.216296615563262,7.041473980024599,7.1774471409991145,5491600
2024-04-24,7.090036392211914,7.21629695899311,7.002624838721457,7.21629695899311,3464400
2024-04-25,7.1385979652404785,7.177447441430776,6.992912197965716,7.090036351563749,3053300
2024-04-26,7.3231329917907715,7.3716950671513555,7.1288856165929815,7.148310354112761,3045100
2024-04-29,7.449394226074219,7.459106363545251,7.2939963215594075,7.3231331970947915,3283400
2024-04-30,7.206584453582764,7.420256562947283,7.177447116199197,7.391119688685982,3996500
2024-05-02,7.1385979652404785,7.3814074229909865,7.012336936060866,7.284283732515241,6300300
2024-05-03,7.371695041656494,7.536805541564721,7.245434016653466,7.245434016653466,5289700
2024-05-06,7.303707599639893,7.4591054858698165,7.235720792853185,7.361981806976114,4062000
2024-05-07,7.497955322265625,7.575654732283546,7.264858481578626,7.2842832183025426,5076400
2024-05-08,7.5950798988342285,7.633929374480662,7.3425578440101305,7.507668347068613,4888100
2024-05-09,7.682490825653076,7.789327576113773,7.507668188926601,7.565942401168759,9059000
2024-05-10,7.692203521728516,7.769902472352476,7.556230358136585,7.624216708371412,3761500
2024-05-13,7.643641471862793,7.731053023171337,7.604791996419502,7.663066209584438,2327000
2024-05-14,7.760189533233643,7.828176806745401,7.55623002830965,7.55623002830965,2843100
2024-05-15,7.701915264129639,7.867026220423977,7.682490527469526,7.760189474109977,5498200
2024-05-16,7.818464279174805,7.896163227126681,7.643641183160823,7.7601896050886365,2652000
2024-05-17,7.857313632965088,7.905875706253334,7.7213400130069,7.808751559676842,3138500
2024-05-20,7.896162986755371,7.973861932341971,7.769901968616021,7.847600914202622,2366900
2024-05-21,7.847600936889648,7.944725082275927,7.77961459086595,7.8961630095827875,2240500
2024-05-22,7.614504337310791,7.876738056053963,7.614504337310791,7.818464307997492,4350500
2024-05-23,7.400831699371338,7.624216405090422,7.371694825607516,7.604791668207122,4205500
2024-05-24,7.2939958572387695,7.527092699172526,7.2260090467802955,7.478530625541865,2877400
2024-05-27,7.342557430267334,7.410544240378772,7.196871673241256,7.274570620155896,2002100
2024-05-28,7.28428316116333,7.4202563171641485,7.264858424591784,7.352269970724865,1256100
2024-05-29,7.614504337310791,7.682490685458183,7.30370808123528,7.30370808123528,6698200
2024-05-31,7.556230068206787,7.653353752760138,7.488243257458313,7.575654805117457,7707600
2024-06-03,7.575654983520508,7.624216595379656,7.507668171170976,7.556230246152395,8311000
2024-06-04,7.429969310760498,7.565942473967182,7.381407235196973,7.536805599126887,2945500
2024-06-05,7.575654983520508,7.6436413327477695,7.371695009594183,7.420256621453332,4336500
2024-06-06,7.6242170333862305,7.731053326609668,7.507668602481916,7.546518079450021,4427600
2024-06-07,7.546517372131348,7.692203128668081,7.488243162141105,7.575654708687595,6752800
2024-06-10,7.4202561378479,7.575654489787194,7.352269793051559,7.575654489787194,1235500
2024-06-11,7.478530406951904,7.61450402389448,7.429968797862908,7.429968797862908,1813100
2024-06-12,7.3231329917907715,7.672778730269066,7.235721441390629,7.556230305150392,2577900
2024-06-13,7.167735576629639,7.3231334873027025,7.090036621293107,7.284284009634437,4703200
2024-06-14,7.051186561584473,7.2162965964844386,7.031761361231489,7.167734984968778,3597200
2024-06-17,6.9738450050354,7.101176558872446,6.9738450050354,7.003229389401236,3316500
